SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,604 Mariposa Ave,Mountain View,CA,94041,,3,2,94041,1413,,1947,,,,,,,,,,2015-04-16,1800000,http://www.redfin.com/CA/Mountain-View/604-Mariposa-Ave-94041/home/616570,,,,N,Y,37.392267,-122.091427,
Past Sale,Multi-Family (2-4 Unit),137 Easy St,Mountain View,CA,94043,,,,94043,1288,,1947,,,,,,,,,,2015-04-24,1835000,http://www.redfin.com/CA/Mountain-View/137-Easy-St-94043/home/625338,,,,N,Y,37.393584,-122.067281,
Past Sale,Single Family Residential,536 Calderon Ave,Mountain View,CA,94041,,3,1,94041,1228,,1947,,,,,,,,,,2015-04-27,1430000,http://www.redfin.com/CA/Mountain-View/536-Calderon-Ave-94041/home/1785175,,,,N,Y,37.386915,-122.074841,
Past Sale,Single Family Residential,2747 Saint Giles Ln,Mountain View,CA,94040,,4,3,94040,2008,,1964,,,,,,,,,,2015-04-24,2280000,http://www.redfin.com/CA/Mountain-View/2747-Saint-Giles-Ln-94040/home/993016,,,,N,Y,37.363875,-122.071617,
Past Sale,Single Family Residential,875 Washington St,Mountain View,CA,94043,,3,1,94043,1240,,1900,,,,,,,,,,2015-04-28,1420000,http://www.redfin.com/CA/Mountain-View/875-Washington-St-94043/home/1397248,,,,N,Y,37.396841,-122.079463,
Past Sale,Single Family Residential,1045 morton Ct,MOUNTAIN VIEW,CA,94040,1695000,3,2,MOUNTAIN VIEW,1801,5227,1954,2,Garage,,Sold,,,,,1695000,2015-04-21,2277000,http://www.redfin.com/CA/Mountain-View/1045-Morton-Ct-94040/home/1562090,MLSListings Inc. (MLSLI),ML81458803,Alain Pinel Realtors,N,Y,37.391378,-122.100677,false
Past Sale,Single Family Residential,1863 Appletree Ln,MOUNTAIN VIEW,CA,94040,1998000,4,2,MOUNTAIN VIEW,1875,8610,1959,2,Garage,,Sold,,,,,1998000,2015-04-22,2628000,http://www.redfin.com/CA/Mountain-View/1863-Appletree-Ln-94040/home/742982,MLSListings Inc. (MLSLI),ML81459784,Alain Pinel Realtors,N,Y,37.369255,-122.093056,false
Past Sale,Single Family Residential,1591 Spring St,MOUNTAIN VIEW,CA,94043,998000,4,3,MOUNTAIN VIEW,1752,5300,1956,2,Garage,,Sold,,,,,998000,2015-04-16,1300000,http://www.redfin.com/CA/Mountain-View/1591-Spring-St-94043/home/1747617,MLSListings Inc. (MLSLI),ML81459055,Intero Real Estate Services,N,Y,37.412509,-122.081892,false
Past Sale,Single Family Residential,590 Penny Ln,MOUNTAIN VIEW,CA,94043,1099950,3,2.5,MOUNTAIN VIEW,1196,3255,2002,1,Garage,,Sold,,,,2015-04-16,1188888,2015-04-21,1132000,http://www.redfin.com/CA/Mountain-View/590-Penny-Ln-94043/home/613086,MLSListings Inc. (MLSLI),ML81457749,Coldwell Banker,N,Y,37.410398,-122.089947,false
Past Sale,Single Family Residential,1168 Barbara Ave,MOUNTAIN VIEW,CA,94040,2198000,4,3,MOUNTAIN VIEW,2377,8470,1954,2,Garage,,Sold,,,,,2198000,2015-05-07,2760000,http://www.redfin.com/CA/Mountain-View/1168-Barbara-Ave-94040/home/1009738,MLSListings Inc. (MLSLI),ML81462684,Intero Real Estate Services,N,Y,37.377395,-122.091698,false
Past Sale,Single Family Residential,1008 Bryant Ave,MOUNTAIN VIEW,CA,94040,1749000,4,2,MOUNTAIN VIEW,1773,7920,1960,2,Garage,,Sold,,,,,1749000,2015-04-24,1860000,http://www.redfin.com/CA/Mountain-View/1008-Bryant-Ave-94040/home/941639,MLSListings Inc. (MLSLI),ML81460176,Kelly Real Estate Services,N,Y,37.361549,-122.068283,false
Past Sale,Single Family Residential,439 Nicholas Dr,MOUNTAIN VIEW,CA,94043,1399000,3,3,MOUNTAIN VIEW,1786,2346,1998,2,Garage,,Sold,,,,,1399000,2015-04-22,1580000,http://www.redfin.com/CA/Mountain-View/439-Nicholas-Dr-94043/home/1179209,MLSListings Inc. (MLSLI),ML81460206,Intero Real Estate Services,N,Y,37.388602,-122.058827,false
Past Sale,Single Family Residential,62 Eldora Dr,Mountain View,CA,94041,,3,2,94041,1340,,1953,,,,,,,,,,2014-03-11,1160000,http://www.redfin.com/CA/Mountain-View/62-Eldora-Dr-94041/home/1750768,,,,N,Y,37.385795,-122.070794,
Past Sale,Single Family Residential,570 Aleynna Pl,Mountain View,CA,94040,,3,3.5,94040,2920,,2008,,,,,,,,,,2013-08-29,473000,http://www.redfin.com/CA/Mountain-View/570-Aleynna-Pl-94040/home/23044843,,,,N,Y,37.380693,-122.081461,
Past Sale,Single Family Residential,469 Pettis Ave,Mountain View,CA,94041,,3,2,94041,1705,,1946,,,,,,,,,,2013-10-17,1325000,http://www.redfin.com/CA/Mountain-View/469-Pettis-Ave-94041/home/934309,,,,N,Y,37.393361,-122.088536,
Past Sale,Single Family Residential,552 Leona Ln,Mountain View,CA,94040,,4,2,94040,1609,,1956,,,,,,,,,,2013-07-16,1575000,http://www.redfin.com/CA/Mountain-View/552-Leona-Ln-94040/home/646690,,,,N,Y,37.376562,-122.081493,
Past Sale,Single Family Residential,1265 Cuernavaca Circulo,Mountain View,CA,94040,,3,2.5,94040,2261,,1986,,,,,,,,,,2013-03-15,1050000,http://www.redfin.com/CA/Mountain-View/1265-Cuernavaca-Circulo-94040/home/993036,,,,N,Y,37.370979,-122.062006,
Past Sale,Single Family Residential,556 Farley St,Mountain View,CA,94043,,3,1,94043,1364,,1950,,,,,,,,,,2013-12-31,400000,http://www.redfin.com/CA/Mountain-View/556-Farley-St-94043/home/1709993,,,,N,Y,37.404453,-122.089375,
Past Sale,Single Family Residential,1425 Gretel Ln,Mountain View,CA,94040,,4,2,94040,1676,,1954,,,,,,,,,,2013-06-07,1440000,http://www.redfin.com/CA/Mountain-View/1425-Gretel-Ln-94040/home/1711160,,,,N,Y,37.376821,-122.078416,
Past Sale,Single Family Residential,1250 Gretel Ln,Mountain View,CA,94040,,3,2,94040,1845,,1954,,,,,,,,,,2013-09-11,1000000,http://www.redfin.com/CA/Mountain-View/1250-Gretel-Ln-94040/home/1321559,,,,N,Y,37.378625,-122.078908,
Past Sale,Single Family Residential,43 Starr Way,Mountain View,CA,94040,,3,1,94040,1194,,1951,,,,,,,,,,2012-12-27,284000,http://www.redfin.com/CA/Mountain-View/43-Starr-Way-94040/home/640691,,,,N,Y,37.379006,-122.087856,
Past Sale,Single Family Residential,1101 Karen Way,Mountain View,CA,94040,,3,1,94040,974,,1952,,,,,,,,,,2012-11-16,378000,http://www.redfin.com/CA/Mountain-View/1101-Karen-Way-94040/home/1164568,,,,N,Y,37.391189,-122.103189,
Past Sale,Single Family Residential,457 Whisman Park Dr,Mountain View,CA,94043,,4,2.5,94043,1925,,1998,,,,,,,,,,2012-09-28,275000,http://www.redfin.com/CA/Mountain-View/457-Whisman-Park-Dr-94043/home/1691193,,,,N,Y,37.388499,-122.05799,
Past Sale,Single Family Residential,403 Hedgerow Ct,Mountain View,CA,94041,,3,2,94041,1968,,1976,,,,,,,,,,2012-10-19,1100000,http://www.redfin.com/CA/Mountain-View/403-Hedgerow-Ct-94041/home/1710579,,,,N,Y,37.383701,-122.062155,
Past Sale,Single Family Residential,502 View St,Mountain View,CA,94041,,3,2,94041,1702,,1905,,,,,,,,,,2012-06-13,1252000,http://www.redfin.com/CA/Mountain-View/502-View-St-94041/home/1641874,,,,N,Y,37.389136,-122.079375,
Past Sale,Single Family Residential,466 View St,Mountain View,CA,94041,,4,2,94041,1918,,1916,,,,,,,,,,2013-08-06,1100000,http://www.redfin.com/CA/Mountain-View/466-View-St-94041/home/619137,,,,N,Y,37.389799,-122.079059,
Past Sale,Single Family Residential,107 Savannah Loop (Unable to map),Mountain View,CA,94040,1608000,4,3.5,Apricot Commons,2275,1457,,2,Garage,,Sold,,,,,1608000,2014-09-19,1692251,http://www.redfin.com/CA/Mountain-View/107-Savannah-Loop-94043/home/58425351,MLSListings Inc. (MLSLI),ML81434217,Charles R. Baldwin~ Broker,N,Y,,,false
Past Sale,Single Family Residential,534 Drucilla Dr,Mountain View,CA,94040,,4,2,94040,1953,,1956,,,,,,,,,,2014-05-14,2055000,http://www.redfin.com/CA/Mountain-View/534-Drucilla-Dr-94040/home/913613,,,,N,Y,37.375069,-122.081428,
Past Sale,Single Family Residential,697 Pettis Ave,Mountain View,CA,94041,,3,2,94041,1284,,1923,,,,,,,,,,2012-08-31,1075000,http://www.redfin.com/CA/Mountain-View/697-Pettis-Ave-94041/home/616517,,,,N,Y,37.390609,-122.090239,
Past Sale,Single Family Residential,768 Hans Ave,Mountain View,CA,94040,,4,3,94040,1620,,1955,,,,,,,,,,2012-12-13,1350000,http://www.redfin.com/CA/Mountain-View/768-Hans-Ave-94040/home/646513,,,,N,Y,37.379365,-122.08608,
Past Sale,Single Family Residential,2134 JARDIN Dr,Mountain View,CA,94040,1178000,4,2,Mountain View,1510,5670,1952,1,Garage,,Sold,,,,,1178000,2013-04-04,1305800,http://www.redfin.com/CA/Mountain-View/2134-Jardin-Dr-94040/home/634073,MLSListings Inc. (MLSLI),ML81309709,Sereno Group,N,Y,37.388839,-122.104637,false
Past Sale,Single Family Residential,2135 Junction Ave,Mountain View,CA,94043,,3,2,94043,1682,,1948,,,,,,,,,,2012-08-21,865000,http://www.redfin.com/CA/Mountain-View/2135-Junction-Ave-94043/home/1320617,,,,N,Y,37.410186,-122.093912,
Past Sale,Single Family Residential,778 Sonia Way,Mountain View,CA,94040,,3,2,94040,1261,,2012,,,,,,,,,,2014-12-02,1350000,http://www.redfin.com/CA/Mountain-View/778-Sonia-Way-94040/home/52673181,,,,N,Y,37.383995,-122.084534,
Past Sale,Single Family Residential,320 MANSFIELD Dr,Mountain View,CA,94040,3295000,4,2.5,COMPLETELY CUSTOM ONE STORY CONSTRUCTION!,3100,8364,2011,2,Garage,,Sold,,,,,3295000,2014-12-08,3015000,http://www.redfin.com/CA/Mountain-View/320-Mansfield-Dr-94040/home/41395789,MLSListings Inc. (MLSLI),ML81438268,Intero San Jose~ Willow Glen Lincoln Ave,N,Y,37.364819,-122.075864,false
Past Sale,Single Family Residential,743 WAKE FOREST Dr,Mountain View,CA,94043,924500,3,2,Mountain View,1296,5280,1954,1,Garage,,Sold,,,,,924500,2014-08-22,1200000,http://www.redfin.com/CA/Mountain-View/743-Wake-Forest-Dr-94043/home/547457,MLSListings Inc. (MLSLI),ML81429643,Coldwell Banker-San Carlos,N,Y,37.403244,-122.065294,false
Past Sale,Single Family Residential,2708 WASATCH Dr,Mountain View,CA,94040,1598000,4,2,Mountain View,1576,7950,1963,2,Garage,,Sold,,,,,1598000,2014-08-29,1665000,http://www.redfin.com/CA/Mountain-View/2708-Wasatch-Dr-94040/home/1562351,MLSListings Inc. (MLSLI),ML81430440,Intero Real Estate Services,N,Y,37.365226,-122.066619,false
Past Sale,Single Family Residential,560 Moorpark Way,Mountain View,CA,94041,,4,3,94041,1949,,1945,,,,,,,,,,2014-11-07,1297000,http://www.redfin.com/CA/Mountain-View/560-Moorpark-Way-94041/home/1466573,,,,N,Y,37.383857,-122.06595,
Past Sale,Single Family Residential,741 EMILY Dr,Mountain View,CA,94043,725000,3,1,Mountain View,816,5000,1954,1,Garage,,Sold,,,,,725000,2014-10-20,825000,http://www.redfin.com/CA/Mountain-View/741-Emily-Dr-94043/home/1512640,MLSListings Inc. (MLSLI),ML81437516,RezRealty,N,Y,37.403972,-122.066417,false
Past Sale,Single Family Residential,399 HEDGEROW Ct,Mountain View,CA,94041,1525000,4,2,Mountain View,2278,10692,1976,2,Garage,,Sold,,,,,1525000,2014-08-29,1775000,http://www.redfin.com/CA/Mountain-View/399-Hedgerow-Ct-94041/home/1339727,MLSListings Inc. (MLSLI),ML81430488,Coldwell Banker-PA Downtown,N,Y,37.3838,-122.062713,false
Past Sale,Single Family Residential,799 Glenborough Dr,Mountain View,CA,94041,,4,2.5,94041,2502,,1985,,,,,,,,,,2014-09-25,2100000,http://www.redfin.com/CA/Mountain-View/799-Glenborough-Dr-94041/home/625641,,,,N,Y,37.382681,-122.062077,
Past Sale,Single Family Residential,802 Devoto St,Mountain View,CA,94041,,3,2.5,94041,2048,,1986,,,,,,,,,,2014-11-19,1610000,http://www.redfin.com/CA/Mountain-View/802-Devoto-St-94041/home/1339739,,,,N,Y,37.379951,-122.062119,
Past Sale,Single Family Residential,920 PLUMTREE Ln,Mountain View,CA,94040,1399000,3,2,Mountain View,1280,6000,1954,2,Garage,,Sold,,,,2014-09-02,13999000,2014-09-11,1535000,http://www.redfin.com/CA/Mountain-View/920-Plumtree-Ln-94040/home/640863,MLSListings Inc. (MLSLI),ML81431831,Intero Real Estate Services,N,Y,37.371936,-122.090173,false
Past Sale,Single Family Residential,766 ARROYO Rd,Los Altos,CA,94024,1900000,3,2.5,Los Altos,2067,15364,1950,2,Garage,,Sold,,,,,1900000,2014-09-27,2411000,http://www.redfin.com/CA/Los-Altos/766-Arroyo-Rd-94024/home/879985,MLSListings Inc. (MLSLI),ML81433929,Coldwell Banker,N,Y,37.381608,-122.093358,false
Past Sale,Single Family Residential,1663 YALE Dr,Mountain View,CA,94040,1795000,4,2.5,Varsity Park,1516,7597,1958,2,Garage,,Sold,,,,,1795000,2014-10-02,1871000,http://www.redfin.com/CA/Mountain-View/1663-Yale-Dr-94040/home/708921,MLSListings Inc. (MLSLI),ML81434912,Intero Real Estate Services,N,Y,37.374988,-122.093155,false
Past Sale,Single Family Residential,702 PALO ALTO Ave,Mountain View,CA,94041,1495000,3,2,Mountain View,1677,7500,1927,2,Garage,,Sold,,,,,1495000,2014-10-09,1560000,http://www.redfin.com/CA/Mountain-View/702-Palo-Alto-Ave-94041/home/616514,MLSListings Inc. (MLSLI),ML81435763,Alain Pinel Realtors,N,Y,37.39015,-122.089934,false
Past Sale,Single Family Residential,127 EASY St,Mountain View,CA,94043,1438000,4,3.5,Apricot Commons,1840,1578,,2,Garage,,Sold,,,,,1438000,2014-12-01,1438000,http://www.redfin.com/CA/Mountain-View/127-Easy-St-94043/home/58848897,MLSListings Inc. (MLSLI),ML81437431,Charles R. Baldwin~ Broker,N,Y,37.393234,-122.06767,false
Past Sale,Single Family Residential,3450 Bruckner Cir,Mountain View,CA,94040,,4,2.5,94040,2582,,1964,,,,,,,,,,2014-11-21,2200000,http://www.redfin.com/CA/Mountain-View/3450-Bruckner-Cir-94040/home/647757,,,,N,Y,37.360075,-122.070333,
Past Sale,Single Family Residential,208 Shumway Ln (Unable to map),Mountain View,CA,94041,,4,2.5,94041,1976,,2014,,,,,,,,,,2014-09-18,1931000,http://www.redfin.com/CA/Mountain-View/208-Shumway-Ln-94041/home/57050451,,,,N,Y,37.3904,-122.0726,
